ST_CASE,STATE,VE_FORMS,PVH_INVL,PERNOTMVIT,PERMVIT,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,ROAD_FNC,LGT_COND,WEATHER,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MIN
10001,1,1,0,0,2,1,1,2012,1,20,33,2,3,1,99,99,20,38,99,99
10002,1,1,1,0,1,1,1,2012,1,13,15,16,1,1,99,99,13,45,99,99
10003,1,1,0,0,6,2,1,2012,2,1,35,2,3,1,99,99,2,25,99,99
10004,1,2,0,0,5,5,1,2012,5,15,12,11,1,1,99,99,15,21,99,99
10005,1,1,0,0,1,6,1,2012,6,6,0,5,4,1,99,99,8,0,88,88
10006,1,2,0,1,2,8,1,2012,1,18,41,12,3,2,99,99,18,46,99,99
10007,1,1,0,0,1,8,1,2012,1,3,0,3,3,10,99,99,8,45,88,88
10008,1,1,0,0,1,4,1,2012,4,1,50,3,3,1,88,88,88,88,88,88
10009,1,2,0,1,1,1,1,2012,1,18,42,14,3,1,88,88,88,88,88,88
10010,1,1,0,1,3,4,1,2012,4,18,28,12,3,1,99,99,18,32,88,88
10011,1,1,0,0,1,6,1,2012,6,13,36,16,1,1,99,99,13,42,99,99
10012,1,1,0,1,1,22,1,2012,1,19,49,14,3,1,99,99,19,49,99,99
10013,1,1,0,0,1,25,1,2012,4,18,40,15,3,10,99,99,18,50,99,99
10014,1,1,0,0,1,27,1,2012,6,18,50,15,3,1,88,88,88,88,88,88
10015,1,2,0,0,5,1,1,2012,1,3,30,1,3,10,99,99,3,50,99,99
10016,1,1,0,0,1,3,1,2012,3,12,10,4,1,1,88,88,88,88,88,88
10017,1,1,0,0,1,3,1,2012,3,16,10,4,1,1,99,99,16,16,99,99
10018,1,2,0,0,2,4,1,2012,4,10,30,14,1,1,99,99,10,50,99,99
10019,1,1,0,0,1,6,1,2012,6,22,35,6,3,1,99,99,23,19,99,99
10020,1,1,0,0,1,7,1,2012,7,9,55,5,1,10,88,88,88,88,88,88
10021,1,1,0,0,1,10,1,2012,3,2,10,2,6,1,99,99,2,41,88,88
10022,1,1,0,1,1,10,1,2012,3,6,23,4,4,2,99,99,6,37,88,88
10023,1,1,0,0,2,10,1,2012,3,20,15,2,3,2,99,99,20,37,99,99
10024,1,1,0,0,1,10,1,2012,3,15,10,4,1,10,99,99,15,33,88,88
10025,1,1,0,0,1,12,1,2012,5,6,45,2,1,1,88,88,88,88,88,88
10026,1,1,0,0,2,13,1,2012,6,21,30,4,3,1,88,88,88,88,88,88
10027,1,1,0,0,1,14,1,2012,7,1,20,15,3,1,99,99,1,24,88,88
10028,1,2,0,0,3,14,1,2012,7,19,30,14,3,1,99,99,19,37,99,99
10029,1,2,0,0,5,14,1,2012,7,7,0,5,1,1,99,99,7,26,99,99
10030,1,1,0,0,1,14,1,2012,7,23,49,14,3,1,99,99,23,55,88,88
10031,1,1,0,0,1,14,1,2012,7,5,50,4,3,1,88,88,88,88,88,88
10032,1,2,0,0,3,14,1,2012,7,17,17,3,5,1,99,99,17,22,99,99
10033,1,1,0,1,1,15,1,2012,1,22,20,14,3,10,99,99,22,32,99,99
10034,1,1,0,0,4,16,1,2012,2,14,20,4,1,1,99,99,14,31,99,99
10035,1,1,0,0,1,16,1,2012,2,1,30,4,3,1,99,99,1,50,88,88
10036,1,1,0,0,1,17,1,2012,3,6,50,1,1,10,88,88,88,88,88,88
10037,1,1,0,0,1,18,1,2012,4,23,50,6,3,1,99,99,0,20,99,99
10038,1,1,0,0,3,20,1,2012,6,6,30,6,1,10,99,99,7,30,99,99
10039,1,1,0,1,1,20,1,2012,6,23,31,14,2,10,99,99,23,35,99,99
10040,1,2,0,0,3,20,1,2012,6,12,59,15,1,1,99,99,13,10,99,99
10041,1,2,0,0,3,21,1,2012,7,20,29,12,3,5,99,99,20,38,99,99
10042,1,1,0,0,2,21,1,2012,7,1,25,11,3,2,99,99,1,32,88,88
10043,1,1,0,0,2,21,1,2012,7,1,33,5,3,10,99,99,1,52,99,99
10044,1,1,0,0,1,26,1,2012,5,13,40,4,1,2,99,99,14,4,99,99
10045,1,2,0,0,2,26,1,2012,5,10,49,3,1,2,99,99,11,0,99,99
10046,1,2,0,0,2,28,1,2012,7,6,25,14,4,1,99,99,6,35,99,99
10047,1,1,0,0,1,28,1,2012,7,15,20,4,1,1,99,99,15,47,88,88
10048,1,1,0,0,1,28,1,2012,7,1,50,6,3,1,99,99,2,5,88,88
10049,1,1,0,0,1,18,1,2012,4,4,30,12,3,1,99,99,4,39,88,88
10050,1,2,0,0,2,25,1,2012,4,20,40,14,3,1,99,99,20,46,99,99
10051,1,1,0,0,1,30,1,2012,2,14,36,6,1,1,99,99,14,53,88,88
10052,1,1,0,0,1,30,1,2012,2,8,44,12,1,1,99,99,8,58,88,88
10053,1,1,0,1,3,31,1,2012,3,17,42,16,3,10,99,99,17,50,99,99
10054,1,2,0,0,2,30,1,2012,2,23,30,14,3,1,99,99,23,38,88,88
10055,1,1,0,1,1,14,1,2012,7,23,55,14,3,1,99,99,0,7,88,88
10056,1,2,0,0,2,23,1,2012,2,18,0,14,3,1,99,99,18,6,99,99
10057,1,2,0,0,3,24,1,2012,3,7,18,12,1,1,99,99,7,23,99,99
10058,1,2,0,0,2,1,2,2012,4,15,0,2,1,2,99,99,15,10,99,99
10059,1,2,0,1,2,1,2,2012,4,20,39,14,3,10,99,99,20,46,88,88
10060,1,1,0,0,2,1,2,2012,4,14,45,3,1,2,99,99,15,5,99,99
10061,1,1,0,0,4,4,2,2012,7,9,24,1,1,1,99,99,9,30,99,99
10063,1,1,0,0,1,4,2,2012,7,21,50,5,3,5,99,99,22,2,88,88
10064,1,2,0,0,3,6,2,2012,2,18,5,12,3,1,99,99,18,18,99,99
10065,1,1,0,0,1,7,2,2012,3,23,15,2,3,10,99,99,23,25,88,88
10066,1,2,0,0,3,7,2,2012,3,16,47,14,5,1,99,99,17,1,99,99
10067,1,1,0,1,1,8,2,2012,4,17,50,3,3,1,99,99,18,20,99,99
10068,1,2,0,0,2,8,2,2012,4,16,5,12,1,1,99,99,16,19,99,99
10069,1,1,0,1,1,9,2,2012,5,5,46,14,3,1,99,99,5,49,88,88
10070,1,1,0,0,1,9,2,2012,5,6,0,5,3,1,99,99,6,31,88,88
10071,1,2,0,0,3,11,2,2012,7,0,50,14,3,1,99,99,1,12,99,99
10072,1,1,0,0,1,2,2,2012,5,23,52,16,3,1,99,99,23,57,88,88
10073,1,2,0,0,5,28,1,2012,7,22,40,14,3,1,99,99,22,49,88,88
10074,1,3,0,0,5,7,2,2012,3,13,40,12,1,1,99,99,13,45,88,88
10075,1,3,0,0,5,15,2,2012,4,15,48,12,1,10,99,99,15,52,99,99
10076,1,1,0,0,1,18,2,2012,7,4,38,15,3,2,88,88,88,88,88,88
10077,1,1,0,0,5,19,2,2012,1,17,16,4,1,1,99,99,17,38,99,99
10078,1,2,0,0,3,24,2,2012,6,13,35,12,1,10,99,99,13,48,99,99
10079,1,2,0,0,2,5,1,2012,5,8,44,12,1,5,99,99,8,47,99,99
10080,1,3,0,0,5,16,1,2012,2,18,25,6,3,1,99,99,18,39,99,99
10081,1,1,0,1,1,28,1,2012,7,6,7,12,3,1,99,99,6,11,88,88
10082,1,1,0,0,1,21,1,2012,7,6,35,15,4,2,88,88,88,88,88,88
10083,1,1,0,0,1,14,1,2012,7,6,27,16,1,1,99,99,6,27,99,99
10084,1,2,0,3,1,4,2,2012,7,23,38,11,3,10,99,99,11,47,99,99
10085,1,2,0,0,2,5,2,2012,1,7,50,12,1,10,99,99,7,55,99,99
10086,1,2,0,0,2,9,2,2012,5,9,30,2,1,1,99,99,9,50,99,99
10087,1,1,0,0,1,10,2,2012,6,9,32,4,1,10,99,99,9,56,99,99
10088,1,1,0,0,1,11,2,2012,7,8,30,2,1,1,99,99,8,45,88,88
10089,1,1,0,0,2,11,2,2012,7,3,30,6,2,1,88,88,88,88,88,88
10090,1,2,0,0,1,11,2,2012,7,2,27,6,3,10,99,99,2,40,99,99
10091,1,1,0,0,1,12,2,2012,1,8,0,4,1,1,88,88,88,88,88,88
10092,1,1,0,0,1,13,2,2012,2,1,5,11,3,10,99,99,1,9,88,88
10093,1,2,0,0,5,15,2,2012,4,18,20,11,1,1,99,99,18,35,99,99
10094,1,1,0,0,2,15,2,2012,4,23,42,6,3,2,99,99,0,40,99,99
10095,1,1,0,0,1,18,2,2012,7,99,99,3,1,2,88,88,88,88,88,88
10096,1,1,0,0,4,18,2,2012,7,16,41,3,5,2,99,99,17,24,99,99
10097,1,1,0,0,1,18,2,2012,7,13,30,6,1,10,99,99,13,31,99,99
10098,1,1,0,0,2,19,2,2012,1,17,55,6,3,10,99,99,18,18,88,88
10099,1,1,0,0,2,19,2,2012,1,14,35,6,1,1,99,99,14,45,99,99
10100,1,1,0,0,1,20,2,2012,2,14,25,6,1,1,99,99,14,45,99,99
10101,1,2,0,0,4,21,2,2012,3,14,0,14,1,1,99,99,14,12,99,99
10102,1,1,0,0,1,22,2,2012,4,10,25,3,1,10,99,99,10,35,99,99
10103,1,1,0,0,1,26,2,2012,1,4,5,2,3,1,99,99,4,20,88,88
10104,1,1,0,1,1,12,2,2012,1,19,57,12,3,1,99,99,20,2,99,99
10105,1,2,0,0,5,21,2,2012,3,11,50,12,1,1,99,99,12,2,99,99
10106,1,2,0,0,2,21,2,2012,3,12,51,14,1,10,99,99,12,53,99,99
10107,1,2,0,0,2,29,2,2012,4,11,50,14,1,10,99,99,11,56,99,99
10108,1,3,0,0,6,9,2,2012,5,20,59,3,3,1,99,99,21,8,99,99
10109,1,2,0,0,2,18,2,2012,7,7,2,14,1,2,99,99,7,55,99,99
10110,1,3,0,0,3,21,2,2012,3,6,49,2,4,10,99,99,7,10,99,99
10111,1,1,0,0,1,22,2,2012,4,13,20,3,1,1,99,99,13,45,88,88
10112,1,1,0,0,2,26,2,2012,1,16,40,15,5,1,99,99,16,43,99,99
10113,1,2,0,0,3,26,2,2012,1,0,40,2,3,1,99,99,1,35,99,99
10114,1,1,0,0,2,27,2,2012,2,23,45,3,3,2,99,99,0,19,99,99
10115,1,2,0,0,3,27,2,2012,2,18,15,5,3,1,99,99,18,36,99,99
10116,1,1,0,0,2,16,2,2012,5,12,40,11,1,10,99,99,12,49,99,99
10117,1,2,0,1,2,27,2,2012,2,10,4,1,1,1,99,99,10,17,99,99
10119,1,2,0,0,2,24,2,2012,6,17,40,3,5,10,99,99,17,50,99,99
10120,1,2,0,0,4,27,2,2012,2,10,25,2,1,1,99,99,10,50,99,99
10121,1,2,0,0,2,8,3,2012,5,21,32,14,3,2,99,99,21,38,99,99
10122,1,2,0,0,4,9,3,2012,6,22,0,12,3,1,99,99,22,10,99,99
10123,1,1,0,0,1,13,3,2012,3,19,3,12,3,1,99,99,19,7,99,99
10124,1,1,0,0,1,14,3,2012,4,0,3,14,3,10,99,99,0,12,99,99
10125,1,1,0,0,3,22,3,2012,5,20,39,16,3,10,99,99,20,40,99,99
10126,1,2,1,0,4,24,3,2012,7,9,3,14,1,1,99,99,9,18,99,99
10127,1,1,0,0,1,19,2,2012,1,11,37,11,1,2,99,99,11,40,99,99
10128,1,1,0,0,1,1,3,2012,5,0,1,4,3,2,99,99,0,22,88,88
10129,1,1,0,0,1,2,3,2012,6,20,0,2,3,10,99,99,20,15,99,99
10130,1,2,0,0,5,2,3,2012,6,13,45,3,1,1,99,99,14,0,99,99
10131,1,1,0,0,1,2,3,2012,6,1,33,14,3,10,99,99,1,39,88,88
10132,1,1,0,0,1,2,3,2012,6,0,30,4,3,10,99,99,1,10,99,99
10133,1,1,0,0,2,4,3,2012,1,16,50,3,1,10,99,99,17,14,99,99
10134,1,2,0,0,2,4,3,2012,1,2,25,12,3,1,99,99,2,34,88,88
10135,1,1,0,0,2,5,3,2012,2,21,20,3,3,1,99,99,21,39,99,99
10136,1,1,0,0,1,6,3,2012,3,2,15,5,3,1,99,99,3,15,99,99
10137,1,2,0,0,2,6,3,2012,3,5,45,4,4,1,99,99,6,8,99,99
10138,1,1,0,0,1,7,3,2012,4,10,10,6,1,1,99,99,10,20,88,88
10139,1,2,0,0,2,7,3,2012,4,17,0,2,1,1,99,99,17,4,99,99
10140,1,2,0,0,3,8,3,2012,5,17,5,2,1,10,99,99,17,9,99,99
10141,1,3,0,0,3,9,3,2012,6,5,25,12,3,2,99,99,5,27,99,99
10142,1,1,0,0,2,10,3,2012,7,11,30,6,1,1,99,99,12,5,99,99
10143,1,3,0,0,7,10,3,2012,7,18,10,4,5,1,99,99,18,20,99,99
10144,1,2,0,0,2,1,3,2012,5,19,16,1,3,1,99,99,19,30,99,99
10145,1,2,0,0,3,10,3,2012,7,18,3,5,5,1,99,99,18,22,99,99
10146,1,2,0,0,5,10,3,2012,7,8,15,3,1,1,99,99,8,31,99,99
10147,1,1,0,0,1,11,3,2012,1,19,20,15,3,10,88,88,88,88,88,88
10148,1,2,0,0,6,11,3,2012,1,17,5,2,1,10,99,99,17,25,99,99
10149,1,2,0,0,4,13,3,2012,3,15,0,2,1,1,99,99,15,27,99,99
10150,1,1,0,1,2,13,3,2012,3,20,11,12,3,1,99,99,20,21,88,88
10151,1,1,0,0,1,13,3,2012,3,7,15,2,1,10,99,99,7,30,99,99
10152,1,3,0,0,7,15,3,2012,5,18,17,2,1,1,99,99,18,28,99,99
10153,1,1,0,1,1,15,3,2012,5,5,48,16,3,5,99,99,6,0,99,99
10154,1,6,0,0,7,16,3,2012,6,10,8,16,1,1,99,99,10,13,99,99
10155,1,2,0,0,3,16,3,2012,6,15,30,3,1,1,99,99,15,46,99,99
10156,1,1,0,0,1,17,3,2012,7,2,10,4,3,1,99,99,2,40,88,88
10157,1,2,0,1,2,17,3,2012,7,21,10,12,3,1,99,99,21,22,99,99
10158,1,1,0,0,1,18,3,2012,1,17,50,4,1,1,99,99,18,2,88,88
10159,1,1,0,1,1,21,2,2012,3,18,0,6,3,1,99,99,18,19,99,99
10160,1,2,0,0,2,22,2,2012,4,12,50,15,1,10,99,99,11,36,99,99
10161,1,1,0,0,1,18,3,2012,1,0,10,2,3,1,99,99,16,34,88,88
10162,1,2,0,0,2,19,3,2012,2,19,45,2,3,1,99,99,19,48,88,88
10163,1,1,0,0,1,21,3,2012,4,19,5,4,3,1,99,99,19,30,88,88
10164,1,1,0,0,3,21,3,2012,4,23,27,16,3,10,99,99,23,30,99,99
10165,1,1,0,0,7,10,3,2012,7,10,40,1,1,1,99,99,10,55,99,99
10166,1,2,0,0,2,28,3,2012,4,14,33,14,1,1,99,99,14,37,99,99
10167,1,2,0,0,2,15,3,2012,5,15,59,12,1,1,99,99,16,3,99,99
10168,1,3,0,0,4,18,3,2012,1,10,38,2,1,1,99,99,10,50,99,99
10169,1,1,0,0,1,22,3,2012,5,23,30,5,3,2,99,99,23,50,88,88
10170,1,2,0,0,4,23,3,2012,6,17,0,1,1,10,99,99,17,20,99,99
10171,1,2,0,0,3,23,3,2012,6,10,46,14,1,2,99,99,10,51,99,99
10172,1,1,0,0,1,24,3,2012,7,16,0,5,1,1,99,99,16,5,99,99
10173,1,2,0,0,3,24,3,2012,7,15,5,2,1,1,99,99,15,16,99,99
10174,1,1,0,1,1,25,3,2012,1,5,20,2,3,1,99,99,9,36,88,88
10175,1,1,0,0,1,25,3,2012,1,17,25,3,1,1,99,99,17,48,99,99
10176,1,1,1,0,1,27,3,2012,3,19,53,16,3,1,99,99,19,58,88,88
10177,1,1,0,0,1,28,3,2012,4,9,30,4,1,1,99,99,9,38,88,88
10178,1,2,0,0,3,29,3,2012,5,19,55,4,3,1,99,99,20,6,99,99
10179,1,2,0,0,3,29,3,2012,5,21,5,3,3,1,99,99,21,21,99,99
10180,1,1,0,4,1,31,3,2012,7,16,23,14,1,1,99,99,16,31,99,99
10181,1,2,0,0,4,31,3,2012,7,18,37,14,5,1,99,99,18,55,99,99
10182,1,1,0,0,2,31,3,2012,7,20,45,4,3,2,99,99,21,10,99,99
10183,1,1,0,0,1,31,3,2012,7,7,25,14,1,10,99,99,7,35,99,99
10184,1,1,0,0,1,31,3,2012,7,2,15,4,3,10,88,88,88,88,88,88
10185,1,4,0,0,4,1,4,2012,1,0,40,2,3,10,99,99,0,44,88,88
10186,1,1,0,0,1,3,4,2012,3,8,10,14,1,1,99,99,8,19,99,99
10187,1,1,0,0,1,10,4,2012,3,2,17,12,3,1,99,99,2,41,88,88
10188,1,1,0,0,1,14,4,2012,7,5,7,14,3,1,99,99,5,15,88,88
10189,1,1,0,1,1,3,4,2012,3,12,45,14,1,1,99,99,12,51,99,99
10190,1,1,0,0,1,1,4,2012,1,17,30,3,1,1,99,99,17,50,88,88
10191,1,1,0,0,1,2,4,2012,2,17,0,6,1,1,99,99,9,43,88,88
10192,1,1,0,0,1,2,4,2012,2,14,16,4,1,1,99,99,14,25,88,88
10193,1,2,0,0,4,4,4,2012,4,16,3,4,1,1,99,99,16,13,99,99
10194,1,1,0,0,1,5,4,2012,5,15,55,6,1,10,99,99,16,15,88,88
10195,1,1,0,0,1,5,4,2012,5,11,20,4,1,1,99,99,11,36,88,88
10196,1,1,0,0,1,6,4,2012,6,23,12,3,3,1,99,99,23,25,88,88
10197,1,1,0,0,1,7,4,2012,7,19,25,5,3,1,99,99,19,36,99,99
10198,1,1,0,0,2,7,4,2012,7,12,10,2,1,1,99,99,12,20,99,99
10199,1,1,0,0,1,10,4,2012,3,4,45,4,3,1,99,99,5,15,88,88
10200,1,2,0,0,3,12,4,2012,5,15,50,6,1,1,99,99,16,10,99,99
10201,1,1,0,0,1,13,4,2012,6,12,30,4,1,1,99,99,13,4,88,88
10202,1,2,0,0,3,23,3,2012,6,23,29,1,3,10,99,99,23,45,99,99
10203,1,1,0,1,3,15,4,2012,1,1,20,16,3,1,99,99,1,27,88,88
10204,1,3,0,0,3,14,4,2012,7,23,0,11,3,10,99,99,23,8,99,99
10205,1,1,0,1,1,26,1,2012,5,15,0,15,1,1,99,99,15,22,99,99
10206,1,1,0,2,1,2,3,2012,6,21,49,12,2,2,99,99,21,56,99,99
10207,1,1,0,0,1,29,3,2012,5,13,50,5,1,1,99,99,13,57,99,99
10208,1,2,0,0,2,6,3,2012,3,16,10,2,1,1,99,99,16,20,99,99
10209,1,2,0,0,2,9,4,2012,2,16,17,12,1,1,99,99,16,24,99,99
10210,1,1,0,0,2,9,4,2012,2,14,45,4,1,1,99,99,15,0,88,88
10211,1,1,0,0,3,12,4,2012,5,13,7,3,1,1,99,99,13,15,99,99
10212,1,2,0,0,4,13,4,2012,6,23,45,2,6,1,99,99,23,55,99,99
10213,1,1,0,0,2,13,4,2012,6,18,15,4,1,1,99,99,18,28,99,99
10214,1,2,0,0,4,14,4,2012,7,10,44,11,1,1,99,99,10,54,99,99
10215,1,1,0,0,1,14,4,2012,7,18,25,3,1,1,99,99,18,38,99,99
10216,1,2,0,0,3,15,4,2012,1,13,55,2,1,1,99,99,14,2,99,99
10217,1,3,0,0,7,17,4,2012,3,17,38,5,1,2,99,99,17,51,99,99
10218,1,2,0,0,7,17,4,2012,3,6,37,4,1,10,99,99,6,57,99,99
10219,1,1,0,1,1,17,4,2012,3,8,15,2,1,2,99,99,8,45,88,88
10220,1,2,0,0,4,18,4,2012,4,8,55,14,1,10,99,99,9,2,99,99
10221,1,2,0,0,2,18,4,2012,4,21,25,4,3,1,99,99,21,32,99,99
10222,1,1,0,0,1,19,4,2012,5,21,25,6,3,1,99,99,21,38,88,88
10223,1,1,0,0,1,19,4,2012,5,22,20,14,3,10,99,99,22,23,99,99
10224,1,1,0,0,1,21,4,2012,7,6,45,5,4,10,99,99,7,0,88,88
10225,1,1,0,0,2,21,4,2012,7,3,28,6,3,10,99,99,4,12,99,99
10226,1,2,0,0,2,23,4,2012,2,13,40,4,1,1,99,99,13,49,99,99
10227,1,2,0,0,19,23,4,2012,2,15,25,2,1,1,99,99,15,50,99,99
10228,1,1,0,0,2,23,4,2012,2,11,30,3,1,1,99,99,19,10,99,99
10229,1,1,0,0,1,24,4,2012,3,4,50,2,3,1,88,88,88,88,88,88
10230,1,1,0,0,1,25,4,2012,4,5,30,4,4,1,99,99,5,49,88,88
10231,1,1,0,0,1,27,4,2012,6,21,5,4,3,1,99,99,21,16,88,88
10232,1,1,0,0,1,28,4,2012,7,17,30,6,1,1,99,99,18,0,88,88
10233,1,1,0,0,1,29,4,2012,1,19,30,4,5,1,99,99,20,3,88,88
10234,1,2,0,0,2,29,4,2012,1,6,22,3,4,1,99,99,6,29,99,99
10235,1,1,0,0,1,21,4,2012,7,1,42,14,3,10,99,99,1,47,88,88
10236,1,1,0,1,1,22,4,2012,1,20,0,14,3,1,99,99,20,6,88,88
10237,1,1,0,0,1,30,4,2012,2,2,20,14,3,1,99,99,2,30,99,99
10238,1,1,0,0,3,28,4,2012,7,17,52,11,5,1,99,99,17,56,99,99
10239,1,1,0,0,1,15,4,2012,1,10,21,15,1,1,10,26,10,38,11,5
10240,1,2,0,0,2,23,4,2012,2,10,45,2,1,1,99,99,11,24,88,88
10241,1,1,0,0,1,27,4,2012,6,22,26,2,3,1,99,99,22,40,88,88
10242,1,1,0,0,1,2,5,2012,4,12,15,15,1,1,99,99,12,22,99,99
10243,1,1,0,0,1,3,5,2012,5,7,12,11,1,10,99,99,7,10,88,88
10244,1,1,0,1,3,5,5,2012,7,20,7,14,3,1,99,99,20,11,88,88
10245,1,2,0,0,3,7,5,2012,2,8,0,15,1,1,99,99,8,5,99,99
10246,1,1,0,0,1,11,5,2012,6,21,10,4,3,10,99,99,21,14,99,99
10247,1,1,0,1,1,12,5,2012,7,23,34,12,3,2,99,99,23,40,99,99
10248,1,1,0,0,1,12,5,2012,7,3,0,4,3,10,99,99,3,40,88,88
10249,1,1,0,0,1,1,5,2012,3,20,35,1,3,1,99,99,20,50,88,88
10250,1,1,0,0,1,1,5,2012,3,15,28,6,1,1,99,99,15,31,88,88
10251,1,2,0,0,3,3,5,2012,5,12,20,3,1,2,99,99,12,31,99,99
10252,1,3,0,0,3,4,5,2012,6,15,35,11,1,1,99,99,15,50,88,88
10253,1,1,0,0,1,5,5,2012,7,13,30,4,1,1,99,99,13,40,88,88
10254,1,2,0,0,3,7,5,2012,2,14,46,5,1,2,99,99,15,4,99,99
10255,1,1,0,0,1,7,5,2012,2,12,55,1,1,1,99,99,13,11,88,88
10257,1,1,1,0,1,7,5,2012,2,6,50,3,1,10,99,99,7,10,99,99
10258,1,1,0,0,1,8,5,2012,3,2,30,12,3,10,99,99,2,49,88,88
10259,1,1,0,0,1,16,5,2012,4,13,30,4,1,10,99,99,13,59,88,88
