VEH_ID,DRIMPAIR
100011,0
100021,0
100031,0
100041,0
100042,0
100051,1
100061,0
100062,0
100071,99
100081,2
100091,0
100092,95
100101,0
100111,99
100121,0
100131,0
100141,99
100151,99
100152,0
100161,99
100171,0
100181,0
100182,0
100191,9
100201,0
100211,0
100221,9
100231,0
100241,0
100251,99
100261,99
100271,99
100281,0
100282,0
100291,0
100292,0
100301,9
100311,99
100321,99
100322,0
100331,0
100341,99
100351,0
100361,0
100371,99
100381,0
100391,9
100401,0
100402,0
100411,99
100412,0
100421,0
100431,9
100441,0
100451,99
100452,0
100461,99
100462,0
100471,0
100481,0
100491,99
100501,0
100502,0
100511,99
100521,99
100531,0
100541,99
100542,9
100551,0
100561,0
100562,0
100571,0
100572,0
100581,0
100582,0
100591,0
100592,0
100601,99
100611,2
100631,9
100641,0
100642,0
100651,99
100661,0
100662,0
100671,0
100681,10
100682,0
100691,0
100701,0
100711,0
100712,0
100721,99
100731,99
100732,99
100741,0
100742,0
100743,0
100751,9
100752,9
100753,0
100761,0
100771,99
100781,0
100782,0
100791,0
100792,0
100801,0
100802,0
100803,0
100811,0
100821,2
100831,99
100841,0
100842,95
100851,0
100852,0
100861,0
100862,0
100871,0
100881,99
100891,99
100901,95
100902,99
100911,0
100921,9
100931,0
100932,0
100941,0
100951,99
100961,99
100971,0
100981,0
100991,0
101001,0
101011,0
101012,0
101021,99
101031,99
101041,0
101051,0
101052,0
101061,0
101062,0
101071,0
101072,0
101081,9
101082,0
101083,0
101091,99
101092,0
101101,0
101102,0
101103,0
101111,9
101121,99
101131,0
101132,0
101141,99
101151,0
101152,99
101161,2
101171,2
101172,0
101191,0
101192,0
101201,0
101202,0
101211,9
101212,0
101221,99
101222,0
101231,99
101241,0
101251,99
101261,0
101262,0
101271,0
101281,99
101291,99
101301,9
101302,0
101311,9
101321,2
101331,99
101341,0
101342,0
101351,9
101361,8
101361,9
101371,99
101372,0
101381,0
101391,0
101392,0
101401,0
101402,0
101411,2
101412,0
101413,0
101421,99
101431,0
101432,0
101433,0
101441,99
101442,0
101451,9
101452,0
101461,0
101462,0
101471,0
101481,0
101482,0
101491,0
101492,0
101501,0
101511,0
101521,2
101522,0
101523,0
101531,0
101541,0
101542,0
101543,0
101544,0
101545,0
101546,0
101551,9
101552,99
101561,99
101571,0
101572,0
101581,0
101591,99
101601,0
101602,0
101611,9
101621,9
101622,99
101631,0
101641,99
101651,99
101661,0
101662,0
101671,99
101672,99
101681,0
101682,0
101683,0
101691,9
101701,0
101702,0
101711,99
101712,0
101721,99
101731,0
101732,0
101741,99
101751,0
101761,9
101771,0
101781,99
101782,0
101791,9
101792,0
101801,9
101811,99
101812,0
101821,99
101831,0
101841,9
101851,0
101852,0
101853,0
101854,0
101861,0
101871,99
101881,99
101891,0
101901,0
101911,99
101921,0
101931,99
101932,0
101941,9
101951,99
101961,0
101971,9
101981,0
101991,0
102001,0
102002,0
102011,0
102021,2
102022,0
102031,0
102041,99
102042,0
102043,0
102051,0
102061,0
102071,99
102081,0
102082,0
102091,99
102092,99
102101,0
102111,99
102121,0
102122,0
102131,9
102141,0
102142,0
102151,0
102161,99
102162,0
102171,0
102172,99
102173,0
102181,0
102182,0
102191,0
102201,99
102202,0
102211,99
102212,0
102221,1
102231,99
102241,9
102251,9
102261,0
102262,0
102271,99
102272,0
102281,0
102291,2
102301,99
102311,9
102321,9
102331,9
102341,99
102342,99
102351,9
102361,0
102371,99
102381,0
102391,0
102401,0
102402,0
102411,9
102421,0
102431,99
102441,0
102451,0
102452,0
102461,99
102471,0
102481,0
102491,0
102501,9
102511,0
102512,0
102521,99
102522,0
102523,0
102531,9
102541,0
102542,0
