PER_ID,MTM_CRSH
1000601,12
1000901,99
1001001,12
1001201,2
1002201,1
1002201,12
1003301,4
1003901,19
1005301,99
1005501,0
1005901,6
1005901,19
1006701,1
1006701,12
1006701,19
1006901,4
1006901,19
1008101,2
1008401,0
1008402,0
1008403,0
1010401,12
1011701,0
1015001,2
1015301,1
1015701,12
1015701,19
1015901,0
1017401,4
1018001,0
1018002,0
1018003,0
1018004,0
1018901,2
1020301,9
1020501,2
1020501,12
1020601,9
1020602,9
1021901,2
1023601,1
1024401,2
1024401,12
1024701,19
1026001,0
1026401,99
1027501,19
1028201,4
1032401,0
1032402,0
1032801,0
1034101,2
1034201,2
1034201,3
1035501,9
1038201,19
1038301,2
1039201,9
1040201,19
1041001,0
1041701,19
1043801,12
1044101,4
1045401,99
1046101,19
1048101,2
1048101,19
1049101,19
1049102,19
1049401,0
1049402,0
1050701,4
1051801,4
1051901,0
1052801,12
1052801,19
1053101,1
1053101,12
1053501,9
1053501,19
1054101,12
1055201,19
1055701,4
1055701,19
1056001,4
1059101,9
1060401,0
1061001,0
1062301,4
1062301,19
1062302,4
1062302,19
1062501,12
1062501,19
1062601,99
1063801,1
1065601,2
1066901,0
1067701,2
1067701,12
1067702,2
1067702,12
1069601,2
1069601,19
1070101,9
1072101,9
1072101,19
1072801,12
1073001,12
1073001,19
1074501,12
1075201,0
1075401,12
1077601,9
1078701,2
1078702,2
1079101,4
1080401,9
2000401,4
2000401,19
2001501,4
2003901,1
2004101,0
2004701,1
2004701,4
2004801,4
2004901,4
2005101,4
2005301,3
2005401,1
2005401,12
4000301,5
4000601,12
4000801,1
4000801,6
4001401,4
4001401,19
4001801,0
4001901,19
4001902,19
4002501,12
4003201,2
4003201,3
4003201,12
4003801,4
4003801,19
4004101,2
4004101,12
4004801,99
4004901,4
4005001,12
4005301,2
4005801,2
4005801,12
4005901,2
4005901,12
4006101,4
4006301,1
4006301,2
4006401,12
4006701,2
4006701,12
4006701,19
4007001,0
4007002,0
4007701,99
4008401,12
4010401,12
4010501,99
4010701,6
4010701,12
4010901,99
4011601,4
4011701,4
4011801,0
4011901,9
4012201,2
4012201,3
4012201,12
4012401,0
4012402,0
4012701,4
4013001,0
4013201,0
4015301,5
4015401,0
4015701,3
4015701,12
4016401,4
4016801,0
4016802,0
4016803,0
4016804,0
4017201,2
4017301,99
4017401,4
4017901,2
4017901,4
4018001,99
4018101,4
4019001,99
4019401,12
4019701,4
4019701,19
4019801,1
4019801,3
4021101,0
4021401,12
4021901,4
4021901,19
4022601,0
4022801,99
4023401,12
4024601,1
4024601,2
4024601,12
4024901,12
4024902,12
4025101,4
4025102,4
4025201,4
4025501,1
4025501,2
4025501,12
4025701,12
4026401,1
4027501,12
4027901,2
4027901,12
4031101,12
4032601,5
4032801,3
4033201,99
4033501,2
4034701,2
4034701,3
4034901,2
4035201,99
4036101,2
4036101,19
4036201,99
4036401,4
4036401,12
4036701,12
4039001,99
4039101,99
4039401,99
4039501,12
4040401,1
4040401,2
4040401,3
4040701,2
4042001,99
4042701,2
4042701,12
4043301,12
4043301,19
4044301,4
4044301,19
4045001,12
4045002,12
4045301,0
4045501,99
4045901,12
4045901,19
4047301,0
4047601,99
4048401,3
4048701,12
4049001,12
4049001,19
4050101,4
4050101,19
4052001,0
4052401,4
4054401,1
4054401,12
4054601,1
4054601,12
4055201,0
4055801,12
4055801,19
4056001,0
4058001,99
4058101,12
4058401,12
4058901,99
4059101,12
4059301,4
4059701,0
4060201,12
4060301,1
4060301,12
4061101,12
4061401,2
4061401,3
4062001,99
4062201,2
4062201,12
4062801,12
4063401,2
4063401,6
4063501,12
4063701,1
4063701,12
4064201,98
4064301,99
4064501,0
4064701,12
4065101,12
4065301,1
4065301,12
4065301,19
4066901,12
4067001,4
4067801,2
4067801,12
4067801,19
4068401,0
4069001,0
4069201,9
4069301,12
4069301,19
4069701,99
4069801,2
4070201,12
4070201,19
4070301,12
4071401,99
4071801,12
4071802,12
4072401,12
4072501,12
4073201,12
4073701,3
4073901,5
4074101,12
4074801,12
4075101,4
4075102,4
5000201,4
5002601,21
5002801,21
5003001,99
5004501,98
5005101,1
5005101,12
5005601,0
5005701,2
5006101,0
5007301,19
5007801,98
5008801,0
5009701,4
5009702,4
5009801,1
5009801,4
5010001,2
