PER_ID,NMIMPAIR
1000601,0
1000901,0
1001001,99
1001201,99
1002201,0
1003301,99
1003901,99
1005301,99
1005501,99
1005901,99
1006701,0
1006901,99
1008101,99
1008401,0
1008402,0
1008403,0
1010401,99
1011701,0
1015001,99
1015301,99
1015701,99
1015901,0
1017401,9
1018001,0
1018002,0
1018003,0
1018004,0
1018901,99
1020301,99
1020501,99
1020601,99
1020602,99
1021901,0
1023601,99
1024401,0
1024701,9
1026001,0
1026401,0
1027501,0
1028201,99
1032401,0
1032402,0
1032801,0
1034101,99
1034201,99
1035501,0
1038201,99
1038301,0
1039201,8
1040201,8
1041001,0
1041701,99
1043801,0
1044101,99
1045401,99
1046101,9
1048101,0
1049101,99
1049102,98
1049401,0
1049402,0
1050701,99
1051801,9
1051901,0
1052801,99
1053101,0
1053501,99
1054101,99
1055201,99
1055701,0
1056001,9
1059101,0
1060401,0
1061001,99
1062301,8
1062302,8
1062501,99
1062601,98
1063801,0
1065601,0
1066901,0
1067701,99
1067702,0
1069601,99
1070101,0
1072101,99
1072801,99
1073001,99
1074501,0
1075201,0
1075401,99
1077601,99
1078701,0
1078702,0
1079101,9
1080401,99
2000401,9
2001501,9
2003901,0
2004101,0
2004701,9
2004801,0
2004901,9
2005101,9
2005301,9
2005401,0
4000301,0
4000601,0
4000801,9
4001401,9
4001801,99
4001901,0
4001902,0
4002501,99
4003201,99
4003801,98
4004101,9
4004801,0
4004901,9
4005001,99
4005301,9
4005801,96
4005901,99
4006101,3
4006101,96
4006301,0
4006401,8
4006401,9
4006701,0
4007001,0
4007002,0
4007701,0
4008401,0
4010401,99
4010501,99
4010701,1
4010701,9
4010901,99
4011601,0
4011701,0
4011801,0
4011901,99
4012201,99
4012401,0
4012402,0
4012701,2
4012701,9
4013001,0
4013201,0
4015301,99
4015401,0
4015701,0
4016401,99
4016801,99
4016802,98
4016803,98
4016804,98
4017201,99
4017301,99
4017401,9
4017901,9
4018001,99
4018101,98
4019001,98
4019401,9
4019701,99
4019801,0
4021101,0
4021401,9
4021901,99
4022601,6
4022801,99
4023401,9
4024601,8
4024901,98
4024902,98
4025101,99
4025102,99
4025201,0
4025501,0
4025701,9
4026401,99
4027501,99
4027901,99
4031101,9
4032601,99
4032801,0
4033201,99
4033501,99
4034701,99
4034901,99
4035201,0
4036101,99
4036201,99
4036401,9
4036701,9
4039001,99
4039101,99
4039401,99
4039501,9
4040401,99
4040701,0
4042001,99
4042701,98
4043301,99
4044301,99
4045001,0
4045002,0
4045301,0
4045501,99
4045901,9
4047301,0
4047601,9
4048401,99
4048701,99
4049001,99
4050101,99
4052001,0
4052401,9
4054401,9
4054601,0
4055201,99
4055801,99
4056001,3
4058001,99
4058101,99
4058401,9
4058901,99
4059101,99
4059301,0
4059701,0
4060201,99
4060301,9
4061101,0
4061401,98
4062001,99
4062201,9
4062801,0
4063401,0
4063501,99
4063701,9
4064201,98
4064301,99
4064501,0
4064701,9
4065101,99
4065301,99
4066901,99
4067001,99
4067801,99
4068401,6
4069001,3
4069201,99
4069301,99
4069701,99
4069801,0
4070201,99
4070301,9
4071401,99
4071801,0
4071802,0
4072401,99
4072501,99
4073201,9
4073701,99
4073901,99
4074101,99
4074801,99
4075101,98
4075102,98
5000201,99
5002601,99
5002801,99
5003001,99
5004501,99
5005101,96
5005601,0
5005701,99
5006101,0
5007301,99
5007801,99
5008801,99
5009701,8
5009702,8
5009801,99
5010001,98
5011601,0
5011701,0
5015001,0
5015401,99
5015601,99
5015801,99
5017401,99
5018801,9
5020601,96
5024901,99
5025901,99
5030601,99
5031001,99
5032301,99
5033801,96
5033901,0
5034001,99
5036201,0
5036701,99
5037201,4
5037501,98
5037502,98
5041501,99
5042601,0
5043801,99
5044701,0
5045201,0
5045701,0
5045801,0
5046201,8
5046201,9
5046901,98
5047401,99
5047601,2
5048501,98
5048701,99
5049201,99
5049202,99
5049401,99
5049501,99
6001001,0
6001101,99
6001201,99
6001401,99
6001501,99
6001601,99
6002501,99
6002901,99
6003001,99
6003801,99
6004401,99
6004501,0
6004601,0
6004701,9
6005401,0
6005701,99
6006901,0
6007301,9
6008001,99
6008501,99
6008601,99
6008901,99
6009001,99
6009201,0
6009401,99
6009701,99
6010401,99
6010402,99
6010601,99
6010701,9
6011301,99
6011801,9
6012001,99
6012201,9
6012701,0
6012801,99
6013001,99
6013301,0
6013701,99
6013801,9
6013901,0
6014101,9
6014201,9
6014401,0
6014601,9
6015201,0
6015601,0
6015602,0
6016001,0
6016101,98
6016401,9
6016501,99
6016601,99
6017501,99
6017701,99
6018001,99
6018201,99
6018301,0
6018302,0
6018401,99
6018501,99
6018601,99
6019001,0
6019101,99
6019301,99
6019401,99
6019501,0
6019601,99
6019701,0
6019801,99
6020201,99
6020401,0
6020601,9
6020901,0
6021101,99
6021301,99
6022501,9
6022502,9
6022601,9
6023201,0
6023701,9
6024001,9
6024701,99
6024801,0
6025101,99
6025201,0
6025301,99
6025601,0
6026201,99
6026401,99
6027301,0
6027302,0
6027501,0
6029201,9
6029901,99
6030001,99
6030601,0
6030602,0
6030603,0
6030604,0
6031101,0
6031201,99
6031801,99
6032001,99
6032101,9
6032501,0
6032601,99
6033001,98
6033501,99
6033601,99
6033701,0
6033901,0
6034001,0
6034301,9
6034501,0
6034601,0
6034901,9
6035001,9
6035701,0
6035801,99
6036101,0
6036401,99
6036601,0
6036801,99
6037101,99
6037201,0
6037501,98
6037901,99
6038201,99
6038401,99
6038801,9
6039001,0
6039002,0
6039101,0
6040301,99
6041201,99
6041301,99
6041401,99
6041901,99
6042801,99
6043201,99
6043401,99
6043701,99
6043901,9
6044401,99
6044402,0
6044501,99
6044601,99
6045801,99
6046401,0
6046501,9
6046601,0
6046801,0
6047401,99
6047701,99
6048501,99
6048701,0
6049201,0
6049301,99
6049701,9
6051701,0
6052401,99
6052601,99
6053301,0
6053401,0
6053501,9
6053601,99
6053901,99
6054101,0
6054301,0
6054401,99
6054501,0
6054701,99
6054901,99
6055001,0
6055101,9
6055201,99
6055301,0
6055501,98
6056001,0
6056501,99
6056801,0
6056802,0
6057401,0
6057801,0
6058001,9
6058101,99
6058501,99
6058601,9
6058901,1
6059801,99
6060701,0
6060801,0
6061701,0
6062101,0
6062301,0
6062701,99
6063301,99
6063801,1
6064201,9
6064301,0
6064302,0
6064303,0
6064601,9
6065001,99
6066101,99
6067701,0
6067901,99
6068101,99
6068401,99
6069201,99
6070201,0
6070202,98
6070203,0
6070701,0
6071001,98
6071401,9
6071801,99
6072301,0
6072501,0
6072801,99
6073001,99
6073101,0
6073501,9
6073601,99
6074601,99
6074801,0
6075001,99
6075101,0
6075201,99
6075601,99
6075801,9
6076301,0
6076501,0
6077001,99
6077101,99
6078201,9
6079301,0
6079601,99
6079801,99
6080001,99
6081101,99
6081501,0
6081901,9
6082301,99
6082701,99
6083301,9
6084001,0
6084101,0
6084501,99
6084701,0
6085001,0
6085601,9
6085701,0
6085801,0
6086101,99
6086201,0
6086301,0
6086801,99
6086901,99
6087101,98
6087301,0
6087701,99
6087901,0
6087902,0
6089001,0
6090801,0
6091101,99
6091801,9
6092101,0
6092301,99
6092401,99
6092901,0
6093001,98
6093701,0
6093901,99
6094701,0
6094702,0
6094801,9
6096001,0
6096002,99
6096401,99
6097501,98
6097701,99
6097901,0
6098101,0
6098301,0
6098701,9
6098801,0
6099201,0
6099601,0
6100301,0
6100701,0
6101601,0
6101602,0
6102101,99
6102301,99
6102801,0
6103201,0
6103501,0
6103502,0
6103503,0
6103601,0
6104701,0
6104901,0
6105001,0
6105101,0
6106101,99
6106701,99
6107101,0
6107301,0
6108001,0
6108201,99
6108601,99
6111001,0
6111101,0
6111901,0
6112501,0
6113501,99
6114601,0
6115101,3
6115101,9
6115401,9
6115801,4
6116401,99
6116801,98
6117001,0
6118101,99
6118401,99
6118501,99
6118701,0
6119001,4
6119001,9
6119101,98
6119201,99
6119301,99
6120501,99
6122601,1
6122801,9
6123701,99
6123702,0
6123801,0
6124101,0
6124301,99
6124701,0
6124702,0
6124801,0
6124901,0
6125001,99
6125201,0
6125701,0
6125801,0
6125901,0
6125902,0
6126001,99
6126601,0
6126701,0
6126801,99
6126901,0
6127501,9
6127601,99
6128101,9
6128201,0
6128701,0
6129001,0
6129002,0
6129101,0
6129301,99
6129401,0
6130201,9
6130301,0
6131001,0
6131101,0
6132301,0
6132501,99
6133101,99
6133201,99
6133501,99
6134301,99
6134302,99
6134601,0
6134701,9
6134801,0
6134901,0
6135001,9
6135101,99
6135201,9
6135601,99
6135901,0
6136001,9
6136101,99
6136701,0
6137201,0
6137202,0
6137401,0
6137501,99
6137601,0
6137701,9
6137901,0
6137902,0
6138301,0
6138601,99
6138701,9
6139101,99
6139102,0
6139401,3
6139402,0
6139701,9
6139801,0
6139802,0
6139803,0
6140301,9
6140501,0
6141701,0
6142201,99
6143101,99
6143401,98
6143901,99
6144001,99
6144301,99
6144901,99
6145301,0
6146101,99
6146401,99
6146601,99
6147401,9
6147801,9
6147901,9
6148001,0
6148701,0
6149101,0
6149401,0
6150001,99
6150601,99
6151001,98
6151401,3
6152501,9
6153201,99
6153801,0
6154001,99
6154301,99
6154901,99
6155101,99
6155401,99
6155501,99
6155901,99
6156001,99
6156301,99
6156601,99
6156801,99
6157001,0
6157101,99
6157301,0
6158501,0
6158701,99
6158901,9
6159001,99
6159201,0
6159501,0
6159701,99
6160101,0
6160301,98
6160302,98
6160501,0
6160801,0
6160901,0
6161001,99
6161101,0
6161301,0
6161901,99
6162301,0
6162501,98
6162701,99
6162901,99
6163501,99
6163901,0
6165001,99
6165201,0
6165301,99
6165701,99
6165801,99
6165901,99
6166101,9
6166201,9
