PER_ID,MPR_ACT
1000601,3
1000901,99
1001001,3
1001201,99
1002201,3
1003301,8
1003901,5
1005301,5
1005501,6
1005901,5
1006701,3
1006701,12
1006901,8
1008101,3
1008401,9
1008401,12
1008402,9
1008402,12
1008403,9
1008403,12
1010401,3
1011701,9
1015001,3
1015301,5
1015701,3
1015901,5
1017401,5
1018001,5
1018002,5
1018003,5
1018004,5
1018901,3
1020301,6
1020501,3
1020601,5
1020602,5
1021901,3
1023601,3
1024401,3
1024701,3
1024701,12
1026001,4
1026001,5
1026401,8
1027501,6
1028201,8
1032401,9
1032402,9
1032801,5
1034101,3
1034201,3
1035501,5
1038201,16
1038301,3
1039201,6
1040201,5
1041001,8
1041701,5
1043801,3
1044101,8
1045401,3
1046101,3
1048101,3
1049101,8
1049101,12
1049102,8
1049102,12
1049401,9
1049402,9
1050701,12
1051801,8
1051901,9
1052801,3
1053101,3
1053501,8
1054101,3
1055201,5
1055701,8
1055701,12
1056001,8
1059101,4
1059101,5
1060401,14
1061001,5
1062301,8
1062302,8
1062501,3
1062601,3
1063801,5
1065601,3
1066901,2
1067701,3
1067702,3
1069601,99
1070101,8
1072101,5
1072801,3
1073001,3
1074501,3
1075201,12
1075401,3
1077601,5
1078701,3
1078702,3
1079101,8
1080401,5
2000401,8
2001501,8
2003901,7
2004101,12
2004701,3
2004801,5
2004901,3
2005101,5
2005301,3
2005401,3
4000301,11
4000601,3
4000801,3
4000801,4
4001401,8
4001801,3
4001901,3
4001902,3
4002501,3
4002501,4
4002501,12
4003201,3
4003801,8
4004101,3
4004801,99
4004901,8
4005001,3
4005301,3
4005801,3
4005901,3
4006101,8
4006301,3
4006401,3
4006701,3
4007001,3
4007002,3
4007701,3
4008401,3
4010401,3
4010501,99
4010701,3
4010901,3
4011601,8
4011701,5
4011801,6
4011801,8
4011901,6
4012201,3
4012401,3
4012402,3
4012701,8
4013001,2
4013201,5
4015301,11
4015401,7
4015701,3
4016401,8
4016401,12
4016801,7
4016802,7
4016803,7
4016804,7
4017201,3
4017301,99
4017401,5
4017901,7
4018001,99
4018101,8
4019001,99
4019401,3
4019701,8
4019801,3
4019801,4
4021101,3
4021401,3
4021901,3
4022601,3
4022801,5
4023401,3
4024601,3
4024601,4
4024901,3
4024902,3
4025101,8
4025101,12
4025102,8
4025102,12
4025201,5
4025501,1
4025501,3
4025701,3
4026401,14
4027501,3
4027901,3
4031101,3
4032601,11
4032801,3
4033201,9
4033501,3
4034701,8
4034901,3
4035201,6
4036101,3
4036201,99
4036401,3
4036701,3
4039001,99
4039101,99
4039401,99
4039501,3
4040401,3
4040401,4
4040701,3
4042001,99
4042701,3
4043301,3
4044301,8
4044301,12
4045001,3
4045002,3
4045301,3
4045501,99
4045901,3
4047301,3
4047601,99
4048401,3
4048701,3
4049001,3
4050101,5
4052001,5
4052001,9
4052401,8
4054401,3
4054401,4
4054601,3
4054601,4
4055201,5
4055801,3
4056001,3
4058001,5
4058101,3
4058401,3
4058901,99
4059101,3
4059301,8
4059701,5
4060201,3
4060301,3
4061101,3
4061401,6
4062001,99
4062201,3
4062801,3
4063401,3
4063501,3
4063701,3
4063701,4
4064201,98
4064301,99
4064501,3
4064701,3
4065101,3
4065301,3
4065301,4
4066901,3
4067001,8
4067801,3
4068401,5
4069001,3
4069201,5
4069301,3
4069701,5
4069801,3
4070201,3
4070301,3
4071401,5
4071401,12
4071801,3
4071801,4
4071802,3
4071802,4
4072401,3
4072501,3
4073201,3
4073701,3
4073901,11
4073901,12
4074101,3
4074801,3
4075101,12
4075101,16
4075102,12
4075102,16
5000201,8
5002601,6
5002601,12
5002801,3
5003001,3
5004501,3
5005101,3
5005601,3
5005601,8
5005701,3
5005701,8
5006101,5
5007301,5
5007801,6
5008801,14
5009701,14
5009702,14
5009801,3
5010001,14
5011601,14
5011701,5
5015001,16
5015401,3
5015601,8
5015801,8
5015801,14
5017401,14
5018801,14
5020601,3
5024901,3
5025901,5
5030601,8
5031001,14
5032301,9
5033801,14
5033901,3
5034001,3
5036201,14
5036701,3
5036701,4
5036701,8
5037201,5
5037501,6
5037502,6
5041501,5
5042601,8
5043801,3
5044701,3
5045201,9
5045701,3
5045801,8
5046201,14
5046901,3
5047401,3
5047601,14
5048501,99
5048701,3
5049201,3
5049202,3
5049401,14
5049501,3
6001001,3
6001101,3
6001201,3
6001401,3
6001501,8
6001601,8
6002501,3
6002901,3
6003001,3
6003801,3
6004401,3
6004501,3
6004601,3
6004701,3
6005401,3
6005701,3
6006901,3
6007301,5
6008001,3
6008501,3
6008601,3
6008901,3
6009001,3
6009201,3
6009401,5
6009701,3
6010401,3
6010402,3
6010601,3
6010701,3
6011301,3
6011801,5
6012001,3
6012201,3
6012701,3
6012801,3
6012801,12
6013001,3
6013301,3
6013701,3
6013801,3
6013901,3
6014101,5
6014201,6
6014401,3
6014601,3
6015201,3
6015601,15
6015602,15
6016001,3
6016101,3
6016401,3
6016501,98
6016601,3
6017501,3
6017701,3
6018001,99
6018201,3
6018301,3
6018302,3
6018401,14
