VEH_ID,ST_CASE,NUMOCCS,HIT_RUN,REG_STAT,OWNER,MAKE,MOD_YEAR,HAZ_INV,TRAV_SP,DEFORMED,SPEEDREL,DEATHS,DR_DRINK
100011,10001,2,0,28,2,49,2008,1,60,6,0,1,0
100021,10002,1,0,0,0,98,2006,1,25,6,0,1,0
100031,10003,6,0,39,1,2,2004,1,55,6,0,1,0
100041,10004,1,0,1,2,2,1999,1,70,6,0,1,0
100042,10004,4,0,1,2,2,2004,1,65,2,0,0,0
100051,10005,1,0,1,1,12,1995,1,60,6,1,1,0
100061,10006,1,0,1,1,54,1989,1,999,2,0,0,0
100062,10006,1,0,1,2,13,2003,1,999,0,0,0,0
100071,10007,1,0,1,2,49,2008,1,999,6,1,1,1
100081,10008,1,0,1,1,20,1994,1,55,6,0,1,1
100091,10009,1,0,1,2,12,1998,1,45,6,0,0,0
100092,10009,0,0,1,6,20,1989,1,0,6,8,0,0
100101,10010,3,0,1,1,49,2006,1,50,4,0,0,0
100111,10011,1,0,1,1,18,2006,1,25,6,0,1,0
100121,10012,1,0,1,1,18,1996,1,999,2,0,0,0
100131,10013,1,0,1,1,72,1981,1,45,6,0,1,0
100141,10014,1,0,1,2,35,2004,1,55,6,1,1,0
100151,10015,2,0,1,1,14,2001,1,85,6,1,2,0
100152,10015,3,0,1,1,20,2000,1,65,6,0,0,0
100161,10016,1,0,1,1,23,2002,1,45,6,0,1,0
100171,10017,1,0,28,1,63,2011,1,50,6,0,1,0
100181,10018,1,0,1,1,41,1997,1,20,6,0,1,0
100182,10018,1,0,1,2,12,2004,1,50,6,0,0,0
100191,10019,1,0,92,0,22,2002,1,65,6,1,1,1
100201,10020,1,0,1,1,20,1984,1,60,6,1,1,0
100211,10021,1,0,1,1,53,1986,1,999,6,0,1,1
100221,10022,1,0,1,1,12,1995,1,40,2,0,0,1
100231,10023,2,0,1,1,12,2000,1,70,6,1,2,0
100241,10024,1,0,1,2,20,2000,1,65,6,1,1,0
100251,10025,1,0,28,1,20,2005,1,999,6,9,1,0
100261,10026,2,0,1,2,12,1992,1,75,6,1,1,0
100271,10027,1,0,1,2,12,1996,1,999,6,9,1,0
100281,10028,1,0,1,1,20,1982,1,60,6,0,1,0
100282,10028,2,0,12,1,12,2006,1,0,6,0,0,0
100291,10029,4,0,1,2,23,2007,1,999,6,0,1,0
100292,10029,1,0,1,3,12,2006,1,999,6,0,0,0
100301,10030,1,0,92,0,21,2002,1,95,6,1,1,1
100311,10031,1,0,1,1,12,1990,1,60,6,1,1,0
100321,10032,1,0,1,2,12,1997,1,55,6,0,0,0
100322,10032,2,0,13,2,12,1996,1,55,6,0,1,0
100331,10033,1,0,1,2,20,2011,1,999,2,0,0,0
100341,10034,4,0,1,2,30,2000,1,100,6,1,1,0
100351,10035,1,0,1,1,7,2003,1,85,6,1,1,0
100361,10036,1,0,1,1,59,2001,1,90,6,1,1,0
100371,10037,1,0,1,2,23,2000,1,70,6,1,1,0
100381,10038,3,0,1,1,12,2000,1,60,6,1,1,0
100391,10039,1,0,1,1,20,1993,1,55,6,0,0,1
100401,10040,2,0,1,2,20,1991,1,40,6,0,1,0
100402,10040,1,0,1,2,12,1998,1,40,6,0,0,0
100411,10041,1,0,1,1,14,1979,1,999,6,9,1,0
100412,10041,2,0,1,1,20,2003,1,999,6,0,0,0
100421,10042,2,0,1,1,6,2004,1,999,6,9,1,1
100431,10043,2,0,1,2,23,1994,1,90,6,1,1,1
100441,10044,1,0,1,1,12,1990,1,55,6,1,1,0
100451,10045,1,0,1,1,49,2002,1,55,6,0,1,0
100452,10045,1,0,1,3,89,1992,1,55,6,0,0,0
100461,10046,1,0,1,1,35,2007,1,45,6,0,1,0
100462,10046,1,0,1,3,86,2007,1,25,6,0,0,0
100471,10047,1,0,1,1,12,2009,1,70,6,1,1,0
100481,10048,1,0,1,1,35,2007,1,60,6,1,1,0
100491,10049,1,0,1,1,45,1999,1,100,6,1,1,1
100501,10050,1,0,1,1,12,2004,1,15,4,0,0,0
100502,10050,1,0,13,1,76,2003,1,35,6,0,1,0
100511,10051,1,0,1,1,7,1978,1,65,6,1,1,0
100521,10052,1,0,1,2,49,1990,1,45,6,0,1,0
100531,10053,3,0,1,1,2,2003,1,35,4,0,0,0
100541,10054,1,0,1,2,20,2004,1,19,6,0,1,1
100542,10054,1,0,1,1,13,2000,1,45,6,0,0,1
100551,10055,1,0,1,1,23,1993,1,45,2,0,0,0
100561,10056,1,0,1,3,84,1999,1,55,6,0,0,0
100562,10056,1,0,1,3,84,2006,1,999,6,0,1,0
100571,10057,1,0,1,2,51,2000,1,999,6,0,0,0
100572,10057,2,0,1,1,20,2010,1,999,6,0,1,0
100581,10058,1,0,1,1,12,1998,1,60,6,1,1,0
100582,10058,1,0,1,1,20,1998,1,55,6,0,0,0
100591,10059,1,0,1,1,55,2008,1,999,4,0,0,0
100592,10059,1,0,1,2,35,2009,1,999,0,0,0,0
100601,10060,2,0,1,2,20,1990,1,60,6,1,1,1
100611,10061,4,0,13,1,12,1998,1,70,6,0,2,0
100631,10063,1,0,1,2,37,1995,1,70,6,1,1,1
100641,10064,1,0,92,0,37,2005,1,70,6,1,1,0
100642,10064,2,0,1,2,20,2006,1,45,6,0,0,0
