MDRDSTRD Code,MDRDSTRD Description
0,Δεν Αποσπάστηκε
1,Κοίταξε Αλλά δεν Είδε
3,Απο Άλλο(ους) Επιβαίνοντα(ες)
4,Από Κινούμε Αντικείμενο στο Όχημα
5,Ενώ Μιλούσε ή Άκουγε στο Κινητο Τηλέφωνο
6,Ενώ Χρησιμοποιούσε το Κινητό Τηλέφωνο
7,Ενώ Ρύθμιζε τον Ήχο ή τον Κλιματισμό
9,Ενώ Χρησιμοποιούσε Άλλα Εξαρτήματα/Διακόπτες μέρος του Οχήματος
10,Ενώ Χρησιμοποιούσε ή Προσπαθούσε να Φτάσει Συσκευές/Αντικείμενα που φέρανε στο Όχημα
12,Αποσπάστηκε απο Εξωτερικό Άτομο / Αντικείμενο ή Συμβάν
13,Ετρωγέ ή Έπινε
14,Σχετικά με Κάπνισμα
15,Άλλα σχετικά με Κινητά Τηλέφωνα
16,Κανένας Οδηγός Παρών / Άγνωστο εάν Οδηγός Παρών
17,Distraction / Ελλειπής Προσοχή
18,Περισπασμός / Αφηρημάδα
19,Απρόσεκτος
92,Περισπασμός (Αφαιρέθηκε) / Λεπτομέρειες Άγνωστες
93,Απροσεξία (Απρόσεκτος) / Λεπτομέρειες Άγνωστες
96,Δεν Αναφέρθηκε
97,Χαμένος στη Σκέψη / Lost In Thought / Day Dreaming
98,Άλλη Απόσπαση
99,Άγνωστο Αν Αποσπάστηκε
