MPR_ACT Code,MPR_ACT Description
1,Πηγαίνοντας προς ή Φεύγοντας απο το Σχολείο
2,Περιμένοντας για να Διασχίσει το Δρόμο
3,Διασχίζοντας το Δρόμο
4,Τζόκινγκ / Τρέξιμο
5,Κίνηση Κατά Μήκος του Δρόμου στην Κατεύθυνση της Κίνησης (Μέσα ή Πλησίον της Λωρίδας Κυκλοφορίας)
6,Κίνηση Κατά Μήκος του Δρόμου Αντίθετα στην Κατεύθυνση της Κίνησης (Μέσα ή Πλησίον της Λωρίδας Κυκλοφορίας)
7,Κίνηση στο Πεζοδρόμιο
8,Στο Δρόμο - Άλλο (Εργασία / Παιχνίδι / κλπ.)
9,Πλησίον του Δρόμου (π.χ. Βοηθητική ή Διαχωριστική Λωρίδα)
10,Εργαζόμενος στο Δρόμο Κυκλοφορίας (Αντιμετώπιση περιστατικών)
11,Μπαίνοντας/Βγαίνοντας απο το Όχημα
12,Σχετιζόμενο με Βλάβη Οχήματος (Εργασία / Σπρώξιμο / Αναχώρηση / Προσέγγιση)
14,Άλλη
15,Καμία
16,Κίνηση Κατά Μήκος του Δρόμου - Κατεύθυνση Άγνωστη
98,Δεν Αναφέρθηκε
99,Άγνωστο
