MTM_CRSH Code,MTM_CRSH Description
0,Καμιά Ανάρμοστη Ενέργεια
1,Βέλος / Παύλα
2,Αποτυχία να Δώσει το Δικαίωμα Διέλευσης
3,Αποτυχία να Υπακούσει Σήματα Κυκλοφορίας / Σήματα Αξιωματικού
4,Εσφαλμένα στο Δρόμο (Στέκεται / Κείτεται / Εργάζεται /Παίζει)
5,Μπαίνει/Βγαίνει απο το Όχημα
6,Απρόσεκτος (Μιλά / Τρώει / κλπ.)
7,Ανάρμοστη Στροφή / Συγχώνευση
8,Ανάρμοστο Πέρασμα
9,Λανθασμένη οδήγηση ή Βάδισμα
10,Οδήγηση στη Λάθος Πλευρά του Δρόμου
12,Ανάρμοστη Διάσχιση Δρόμου ή Σταυροδρομίου
13,Αποτυχία Αναμμένων Φώτων Όταν Χρειαστήκανε
14,Λειτουργία Χωρίς τον Αναγκαίο Εξοπλισμό
15,Ανάρμοστη ή Ακανόνιστη Αλλαγή Λωρίδας
16,Αποτυχία να Διατηρηθεί στη Σωστή Λωρίδα ή Τρέξιμο Εκτός Δρόμου
17,Ανάρμοστη Είσοδος ή Έξοδος απο Δρόμο Κυκλοφορίας
18,Λειτουργία Οχήματος με Άλλο Ακανόνιστο / Ριψοκίνδυνο / Απερίσκεπτο ή Αμελή Τρόπο
19,Μη Ορατός (Σκούρο Ντύσιμο / Καθόλου Φώτα / κλπ.)
20,Προσπέρασμα σε μη Επαρκή Απόσταση ή μη Επαρκή Ορατότητα ή Αποτυχία Επίτρεψης σε Όχημα που Προσπερνά
21,Άλλο
98,Δεν Αναφέρθηκε
99,Άγνωστο
