MVISOBSC Code,MVISOBSC Description
0,Κανένα Εμπόδιο δεν σημειώθηκε
1,Βροχή / Χιόνι/ Ομίχλη / Καπνός / Άμμος / Σκόνη
2,Αντανακλάσεις / Λαμπρό Φως του Ήλιου / Προβολείς
3,Κλίση / Λόφος / ή Άλλο Σχεδιαστικό Χαρακτηριστικό του Δρόμου
4,Κτήριο / Πινακίδα / ή Άλλη Κατασκευή
5,Δέντρα / Καλλιέργειες / Βλάστηση
6,Μηχανοκίνητο Όχημα σε Κίνηση (Συμπεριλαμβανομένου του Φορτίου)
7,Ακίνητο Μηχανοκίνητο Όχημα (Σταθμευμένο / Εργασίας)
8,Παφλασμός ή Σπρέι απο Διερχόμενο Όχημα
9,Μη Επαρκές Σύστημα Απόψυξης ή Ξεθαμπώματος
10,Μη Επαρκές Σύστημα Φωτισμού του Οχήματος
11,Παρεμπόδιση Εσωτερικού τοObstructing Interior to the Vehicle
12,Εξωτερικοί Καθρέφτες
13,Σπασμένο ή Εσφαλμένα Καθαρισμένο Παρμπριζ
14,Γωνίες Παρεμπόδισης στο Όχημα
95,Κανένας Οδηγός Παρών / Άγνωστο αν Οδηγός Παρών
97,Επισκίαση Όρασης - Καμιά Λεπτομέρεια
98,Άλλο Οπτικό Εμπόδιο
99,Άγνωστο
