REST_USE Code,REST_USE Description
0,Μη Εφαρμόσιμος
1,Χρήση Μόνο Ζώνης Ώμου
2,Χρήση Μόνο Ζώνης Υπογαστρίου
3,Χρήση Ζώνης Ώμου και Υπογαστρίου
4,Παιδική Σύγκρατηση Αγνώστου Τύπου
5,Συμβατό Κράνος Μοτοσικλέτας - DOT
7,Δεν Χρησιμοποιήθηκε Κανένα - Επιβαίνοντας Μηχανοκίνητου Οχήματος
8,Χρήση Συγκράτησης - Άγνωστος Τύπος
10,Παιδικό Σύστημα Συγκράτησης - Μέτωπο προς τα Εμπρός
11,Παιδικό Σύστημα Συγκράτησης - Μέτωπο προς τα Πίσω
12,Βοηθητικό Κάθισμα
16,Άλλο Κράνος
17,Χωρίς Κράνος
96,Επιβαίνοντας μη-Μηχανοκίνητου Οχήματος
97,Άλλο
98,Δεν Αναφέρθηκε
99,Άγνωστο
