ROAD_FNC Code,ROAD_FNC Description
1,Αγροτικός Κύριος Οδικός Άξονας Αρτηρία - Διακρατικος
2,Αγροτικός Κύριος Οδικός Άξονας - Άλλος
3,Αγροτικός Δευτερεύων Οδικός Άξονας
4,Rural Major Collector
5,Rural Minor Collector
6,Αγροτικός Επαρχιακός ή Τοπικός Δρόμος
9,Αγροτικός Άγνωστο
11,Αστικός Κύριος Οδικός Άξονας - Διακρατικός
12,Αστικός Κύριος Οδικός Άξονας - Αυτοκινητόδρομοι ή Ταχείας Κυκλοφορίας
13,Άλλος Αστικός Κεντρική Οδικός Άξονας
14,Αστικός Δευτερεύων Οδικός Άξονας
15,Urban Collector
16,Αστικός Επαρχιακός ή Τοπικός Δρόμος
19,Αστικός Άγνωστο
99,Άγνωστο
