SEAT_POS Code,SEAT_POS Description
0,Επιβαίνοντας μη-Μηχανοκίνητου Οχήματος
11,Μπροστινή Θέση - Αριστερή ΠΛευρά (Πλευρά Οδηγού)
12,Μπροστινή Θέση - Μέση
13,Μπροστινή Θέση - Δεξιά Πλευρά
18,Μπροστινή Θέση - Άλλη
19,Μπροστινή Θέση - Άγνωστη
21,Δεύτερη Θέση - Αριστερή ΠΛευρά
22,Δεύτερη Θέση - Μέση
23,Δεύτερη Θέση - Δεξιά Πλευρά
28,Δεύτερη Θέση - Άλλη
29,Δεύτερη Θέση - Άγνωστη
31,Τρίτη Θέση - Αριστερή Πλευρά
32,Τρίτη Θέση - Μέση
33,Τρίτη Θέση - Δεξιά Πλευρά
38,Τρίτη Θέση - Άλλη
39,Τρίτη Θέση - Άγνωστη
41,Τέταρτη Θέση - Αριστερή Πλευρά
42,Τέταρτη Θέση - Μέση
43,Τέταρτη Θέση - Δεξιά Πλευρά
48,Τέταρτη Θέση - Άλλη
49,Τέταρτη Θέση - Άγνωστη
50,Καμπίνα για Ύπνο (Φορτηγό)
51,Άλλος Επιβάτης σε Κλειστό Χώρο Επιβατών ή Φορτίου
52,Άλλος Επιβάτης σε Αίθριο Χώρο Επιβατών ή Φορτίου
53,Άλλος Επιβάτης σε Χώρο Επιβατών ή Φορτίου, Άγνωστο Κλειστός ή Μη
54,Μονάδα Ρυμούλκησης
55,Οδήγηση σε Εξωτερικό Μέρος Όχηματος
98,Δεν Αναφέρθηκε
99,Άγνωστο
